,PriceUnit,Price,item,link
101,UF,12.200,UF 12.200,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5554264-grecia-crescente-errazuriz-uda#position=12&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
102,UF,8.248,UF 8.248,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5762753-pasaje-juan-moya-uda#position=13&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
103,UF,4.690,UF 4.690,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5761809-amplia-casa-sector-juan-moya-grecia-uda#position=14&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
104,UF,7.490,UF 7.490,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5761801-casa-4d2b1est1bod-110m2-const-y-204m2-tour-360-terr-orientales-y-vesp-l4-villa-frei-uda#position=15&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
105,$,160.000.000,$ 160.000.000,https://www.portalinmobiliario.com/MLC-540276609-casa-en-venta-de-3-dorm-en-nunoa-_JM#position=16&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
106,UF,9.950,UF 9.950,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5761569-licenciado-las-penas-batle-y-ordonez-itata-uda#position=17&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
107,UF,11.300,UF 11.300,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5761441-excelente-casa-montenegro-uda#position=18&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
108,UF,12.500,UF 12.500,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5761425-propiedad-ideal-para-inversionista-uda#position=19&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
109,UF,14.067,UF 14.067,https://www.portalinmobiliario.com/MLC-540258676-presidente-madero-metro-estadio-nacional-_JM#position=20&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
110,$,250.000.000,$ 250.000.000,https://www.portalinmobiliario.com/MLC-540258599-la-verbena-hamburgometro-principe-de-gales-_JM#position=21&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
111,UF,10.890,UF 10.890,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/8426-townhouse-aguirre-luco-nva#position=22&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
112,UF,9.890,UF 9.890,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/7518-townhouse-nunoa-julio-zegers-nva#position=23&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
113,$,299.000.000,$ 299.000.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5760991-brown-sur-uda#position=24&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
114,UF,6.970,UF 6.970,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5760990-maria-celeste-uda#position=25&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
115,$,325.000.000,$ 325.000.000,https://www.portalinmobiliario.com/MLC-540240782-montenegro-amapolas-_JM#position=26&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
116,UF,16.890,UF 16.890,https://www.portalinmobiliario.com/MLC-540239952-coventry-echenique-2-casas-en-608m2-140m2-53m2-_JM#position=27&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
117,UF,6.276,UF 6.276,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5760776-las-torpederas-901-uda#position=28&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
118,$,338.000.000,$ 338.000.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5760760-monsenor-eyzaguirre-630-uda#position=29&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
119,$,295.000.000,$ 295.000.000,https://www.portalinmobiliario.com/MLC-540237554-montenegro-emilia-tellez-_JM#position=30&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
120,$,360.000.000,$ 360.000.000,https://www.portalinmobiliario.com/venta/casa/nunoa-metropolitana/5760618-san-andres-montenegro-uda#position=31&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
121,UF,16.100,UF 16.100,https://www.portalinmobiliario.com/MLC-540219974-av-suecia-irarrazaval-_JM#position=32&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
122,UF,9.295,UF 9.295,https://www.portalinmobiliario.com/MLC-540219928-guillermo-franke-sucre-nunoa-_JM#position=33&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
123,$,325.000.000,$ 325.000.000,https://www.portalinmobiliario.com/MLC-540219866-monsenor-eyzaguirre-suarez-mujica-_JM#position=34&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
124,$,289.000.000,$ 289.000.000,https://www.portalinmobiliario.com/MLC-540219877-juan-moya-eduardo-castillo-velasco-820-_JM#position=35&type=item&tracking_id=176bd4c4-1683-4758-bdcf-83eac890c33f
